ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),latitude_stop,longitude_stop,latitude_start,longitude_start,depth_stop,depth_start
2020-07-11T00:32:12.000,1.58,13.4,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T00:47:12.000,1.59,13.45,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T01:02:12.000,1.61,13.63,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T01:17:12.000,1.64,13.86,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T01:32:12.000,1.64,13.9,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T01:47:12.000,1.65,13.98,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T02:02:12.000,1.67,14.17,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T02:17:12.000,1.66,14.04,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T02:32:12.000,1.69,14.28,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T02:47:12.000,1.71,14.46,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T03:02:12.000,1.69,14.31,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T03:17:12.000,1.66,14.07,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T03:32:12.000,1.67,14.1,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T03:47:12.000,1.66,14.03,8.11,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T04:02:12.000,1.65,13.96,8.12,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T04:17:12.000,1.65,14.01,8.13,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T04:32:12.000,1.68,14.24,8.13,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T04:47:12.000,1.69,14.35,8.14,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T05:02:12.000,1.66,14.09,8.14,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T05:17:12.000,1.62,13.77,8.14,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T05:32:12.000,1.57,13.34,8.15,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T05:47:12.000,1.48,12.51,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T06:02:12.000,1.46,12.34,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T06:17:12.000,1.41,11.96,8.17,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T06:32:12.000,1.4,11.89,8.18,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T06:47:12.000,1.38,11.72,8.18,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T07:02:12.000,1.39,11.75,8.18,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T07:17:12.000,1.36,11.52,8.18,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T07:32:12.000,1.31,11.09,8.18,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T07:47:12.000,1.3,11.0,8.18,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T08:02:12.000,1.34,11.36,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T08:17:12.000,1.38,11.72,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T08:32:12.000,1.42,12.02,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T08:47:12.000,1.45,12.26,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T09:02:12.000,1.48,12.51,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T09:17:12.000,1.47,12.46,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T09:32:12.000,1.43,12.12,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T09:47:12.000,1.45,12.31,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T10:02:12.000,1.48,12.53,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T10:17:12.000,1.47,12.43,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T10:32:12.000,1.46,12.36,8.15,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T10:47:12.000,1.46,12.41,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T11:02:12.000,1.45,12.31,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T11:17:12.000,1.46,12.37,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T11:32:12.000,1.45,12.26,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T11:47:12.000,1.42,12.08,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T12:02:12.000,1.44,12.2,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T12:17:12.000,1.43,12.12,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T12:32:12.000,1.41,11.94,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
2020-07-11T12:47:12.000,1.39,11.82,8.16,44.696818,-124.106675,44.695115,-124.10666200000001,-38.99,-36.17
